Temperature,Humidity,Moisture,Soil Type,Nitrogen,pH,Crop Type
24.2,47.0,22.1,black,140.4,6.6,Sunflower
9.8,50.2,16.4,sandy,76.7,5.82,Rye
16.0,49.0,35.2,sandy,113.8,6.58,Cherry
26.8,45.8,12.4,sandy,102.0,6.72,Peach
26.5,73.8,59.6,red,201.3,5.91,Tomato
8.9,53.8,38.4,clayey,120.9,7.04,Barley
16.6,63.4,40.6,clayey,196.8,6.76,Rapeseed
28.1,46.0,18.7,sandy,130.9,6.76,Peach
19.1,65.0,31.2,loamy,147.9,6.92,Wheat
13.9,54.2,33.6,clayey,111.8,6.58,Cherry
20.2,67.4,54.6,black,90.6,7.11,Soybean
18.1,61.1,58.1,black,148.0,6.04,Corn
26.3,72.0,59.5,red,206.2,7.24,Tomato
24.4,53.8,30.2,black,115.6,5.84,Sunflower
15.5,58.0,30.6,sandy,148.1,7.01,Barley
16.0,75.7,57.5,black,91.7,5.87,Oats
13.4,70.3,43.8,clayey,94.6,5.9,Oats
15.1,74.7,51.8,loamy,118.4,6.47,Oats
11.5,58.6,27.5,sandy,67.8,5.9,Rye
23.1,77.7,61.3,loamy,204.6,6.48,Tomato
22.5,53.4,30.1,clayey,145.6,6.01,Sunflower
15.3,61.1,34.4,loamy,194.4,7.03,Rapeseed
12.0,60.1,13.2,sandy,57.7,6.29,Rye
21.4,59.2,53.7,clayey,162.8,6.35,Corn
16.2,52.3,36.0,sandy,106.2,6.52,Cherry
19.4,70.8,38.3,black,157.1,6.44,Wheat
25.2,42.3,31.0,black,124.0,6.85,Sunflower
25.3,70.9,74.6,loamy,163.6,6.4,Tomato
10.7,73.9,21.4,sandy,60.5,5.55,Rye
13.3,60.0,15.9,clayey,46.7,5.67,Rye
15.6,38.2,41.4,black,104.8,6.23,Cherry
24.5,54.9,32.3,black,110.3,6.91,Sunflower
11.9,59.1,38.1,loamy,96.4,6.45,Barley
7.6,69.2,50.3,clayey,98.7,5.45,Oats
9.2,57.3,29.7,sandy,82.1,6.75,Barley
10.7,66.0,34.2,loamy,194.8,7.21,Rapeseed
13.8,74.2,48.1,clayey,96.3,6.47,Oats
19.6,72.7,42.4,loamy,159.1,7.0,Wheat
14.7,60.9,34.4,loamy,218.6,6.57,Rapeseed
20.4,56.2,28.8,black,152.9,7.01,Sunflower
19.7,54.6,30.5,black,165.1,6.69,Sunflower
9.8,60.8,19.6,black,94.9,5.99,Rye
20.2,69.9,60.3,loamy,119.0,6.59,Corn
17.8,60.6,39.8,clayey,216.0,6.77,Rapeseed
7.4,51.1,20.6,clayey,66.1,6.41,Rye
12.9,62.3,57.2,loamy,83.0,6.06,Oats
21.6,68.6,61.5,clayey,114.1,6.13,Soybean
23.4,41.0,25.0,loamy,103.5,6.8,Peach
9.4,59.9,20.7,sandy,42.3,5.22,Rye
15.4,51.8,34.2,loamy,106.6,6.11,Cherry
25.7,73.1,60.7,loamy,203.0,6.49,Tomato
19.9,44.5,33.9,black,130.1,6.26,Sunflower
21.5,51.8,27.2,clayey,98.6,6.56,Sunflower
25.6,48.3,26.3,loamy,146.5,6.56,Sunflower
14.3,47.5,29.7,sandy,97.1,7.14,Barley
12.8,77.8,43.9,clayey,118.5,6.01,Oats
16.0,64.8,45.6,loamy,144.2,6.82,Wheat
16.7,78.6,59.0,loamy,120.3,6.04,Potato
26.8,43.5,18.4,red,171.3,6.91,Peach
16.7,57.8,41.5,clayey,266.9,7.78,Sugar Beet
19.9,69.0,42.3,loamy,195.4,6.95,Sugar Beet
9.4,50.2,35.4,red,98.9,6.98,Barley
24.0,69.4,39.4,loamy,105.1,6.22,Soybean
23.0,48.2,33.5,black,120.1,6.67,Sunflower
14.1,59.5,43.6,clayey,207.5,7.2,Rapeseed
25.1,73.7,58.4,sandy,169.3,6.65,Tomato
22.6,56.2,53.0,black,192.7,5.89,Corn
9.5,60.0,10.6,loamy,85.5,5.99,Rye
25.9,68.7,63.4,clayey,157.4,5.89,Tomato
20.5,60.9,41.7,loamy,209.5,7.16,Sugar Beet
13.7,73.9,46.2,black,83.6,6.18,Oats
15.9,66.1,45.3,loamy,183.4,6.42,Rapeseed
12.2,57.5,29.0,black,106.6,6.64,Barley
17.6,71.1,47.6,loamy,135.9,6.18,Oats
6.6,53.1,14.7,sandy,52.0,6.0,Rye
17.0,69.7,38.1,sandy,152.3,6.82,Wheat
17.6,66.2,50.4,clayey,240.0,7.05,Sugar Beet
12.6,76.6,44.0,loamy,136.1,6.57,Oats
23.4,35.1,20.2,red,127.1,6.54,Peach
27.5,75.1,63.2,loamy,151.6,6.31,Tomato
14.8,82.8,60.2,sandy,130.5,5.37,Potato
23.0,68.4,47.3,black,58.8,6.32,Soybean
21.2,51.7,29.4,loamy,94.7,6.53,Sunflower
10.4,71.1,55.2,loamy,143.4,5.37,Oats
21.5,68.3,54.9,loamy,108.8,5.95,Soybean
22.6,60.3,34.6,black,198.3,6.61,Sugar Beet
19.1,51.4,58.5,black,166.2,5.5,Corn
16.1,61.8,37.5,loamy,152.0,6.5,Wheat
22.3,62.1,49.2,sandy,123.5,6.81,Soybean
22.9,40.4,18.9,loamy,114.4,6.17,Peach
18.9,48.9,32.4,sandy,78.1,6.52,Cherry
26.5,69.7,61.9,loamy,178.9,6.13,Tomato
11.7,65.6,26.7,loamy,104.0,6.59,Barley
17.1,50.2,30.7,sandy,114.3,6.56,Cherry
19.1,45.9,32.8,sandy,74.3,6.18,Cherry
7.2,50.3,23.0,loamy,79.8,5.85,Rye
24.4,55.7,59.0,loamy,197.3,6.55,Corn
12.6,57.3,36.4,sandy,148.2,7.45,Barley
9.8,56.2,18.8,sandy,45.6,5.83,Rye
12.0,56.9,20.5,loamy,122.8,6.98,Barley
13.8,59.6,32.1,sandy,125.1,6.65,Barley
25.9,48.0,30.0,loamy,164.5,6.46,Peach
16.5,51.0,40.5,black,225.7,7.21,Sugar Beet
15.5,48.7,28.9,loamy,85.0,6.47,Cherry
25.9,61.7,52.9,black,101.5,5.92,Soybean
24.5,45.2,21.1,red,128.2,6.8,Peach
20.7,67.2,51.2,black,200.6,5.72,Corn
20.0,73.2,59.3,sandy,96.4,5.69,Potato
11.5,51.8,21.9,loamy,103.6,6.33,Barley
5.6,54.0,21.5,loamy,84.7,5.32,Rye
16.9,60.4,45.3,black,222.0,7.29,Sugar Beet
15.9,47.9,23.5,loamy,100.9,6.42,Cherry
9.2,61.5,33.6,sandy,116.8,6.96,Barley
22.5,72.3,65.6,sandy,161.4,6.12,Tomato
12.6,51.1,16.1,sandy,57.7,5.81,Rye
24.1,41.6,29.4,black,46.2,6.71,Sunflower
16.7,60.4,39.7,loamy,172.2,6.47,Wheat
26.1,69.6,67.6,red,183.3,5.69,Tomato
23.9,42.6,21.5,loamy,133.1,6.82,Peach
25.3,72.6,62.1,loamy,169.4,6.55,Tomato
18.8,63.6,43.7,clayey,196.0,6.97,Sugar Beet
14.1,48.9,23.6,loamy,75.9,6.48,Cherry
18.7,62.8,32.2,black,207.1,6.32,Wheat
23.1,52.1,26.2,black,126.6,6.45,Sunflower
12.1,44.6,24.7,loamy,97.9,6.47,Cherry
19.2,55.2,61.5,black,213.3,5.95,Corn
26.3,80.4,64.2,loamy,141.9,6.35,Tomato
23.1,56.6,29.2,black,153.3,6.97,Sunflower
14.9,67.1,43.8,sandy,244.0,7.09,Sugar Beet
17.6,49.8,41.7,loamy,94.0,6.73,Cherry
27.4,40.8,13.6,loamy,159.3,6.79,Peach
7.8,56.4,21.1,loamy,73.3,5.58,Rye
17.3,56.9,37.7,red,199.8,6.6,Rapeseed
28.2,70.1,56.2,red,185.4,6.02,Tomato
15.0,64.8,34.6,loamy,138.5,6.38,Wheat
17.0,81.8,51.4,loamy,149.2,6.16,Potato
27.1,76.2,71.6,black,168.3,6.01,Tomato
22.8,50.3,28.0,black,152.6,6.5,Sunflower
12.4,78.0,64.8,loamy,164.5,6.29,Potato
13.8,54.7,25.0,loamy,87.3,7.16,Barley
20.2,48.7,26.1,black,117.3,6.12,Sunflower
11.9,51.8,27.0,loamy,126.2,7.08,Barley
24.2,41.8,33.4,clayey,112.0,6.98,Sunflower
9.9,51.4,31.1,clayey,91.6,7.06,Barley
20.1,50.2,30.6,clayey,125.4,7.05,Sunflower
11.6,60.3,26.0,sandy,53.1,5.87,Rye
19.5,60.7,47.6,sandy,229.6,6.63,Sugar Beet
16.5,70.4,48.2,clayey,87.8,5.84,Oats
12.9,75.3,45.5,clayey,114.9,5.77,Oats
12.0,61.8,27.0,loamy,115.6,7.41,Barley
26.9,37.3,21.5,loamy,137.6,6.4,Peach
15.3,63.2,40.3,black,159.5,6.31,Wheat
26.1,57.4,25.8,loamy,155.6,6.42,Sunflower
25.6,48.9,21.2,sandy,130.3,6.44,Peach
7.8,62.9,18.8,loamy,69.5,6.27,Rye
26.5,72.0,59.3,loamy,191.6,6.31,Tomato
24.3,47.0,22.5,sandy,133.5,6.7,Peach
12.6,69.0,64.0,loamy,80.2,5.78,Oats
17.5,67.1,51.7,clayey,150.1,5.82,Corn
14.3,74.4,48.3,sandy,102.4,5.82,Oats
20.3,58.5,58.0,loamy,175.2,6.25,Corn
7.7,61.1,17.0,loamy,79.4,5.87,Rye
17.9,56.7,44.8,loamy,237.4,7.02,Sugar Beet
12.3,69.4,42.7,clayey,81.0,5.84,Oats
20.7,55.4,27.8,black,139.7,6.51,Sunflower
16.1,63.2,45.4,loamy,114.2,6.62,Wheat
17.6,78.1,54.9,sandy,136.9,5.73,Potato
18.9,79.7,55.8,sandy,103.6,5.54,Potato
29.9,38.1,16.0,red,154.1,6.4,Peach
23.2,67.7,52.1,black,108.1,7.03,Soybean
25.0,75.3,59.3,loamy,205.9,6.23,Tomato
13.5,60.4,44.6,clayey,176.8,6.72,Rapeseed
18.8,85.9,60.0,black,167.2,5.39,Potato
20.3,71.0,65.2,black,132.6,6.42,Soybean
26.1,54.3,14.9,red,167.5,6.77,Peach
16.0,72.6,61.8,clayey,138.4,6.05,Oats
26.0,58.6,58.8,clayey,106.4,6.28,Soybean
19.0,65.2,42.3,black,194.0,7.69,Sugar Beet
25.2,49.4,28.8,loamy,135.8,6.49,Peach
16.9,54.1,35.0,sandy,78.4,6.7,Cherry
17.3,66.5,61.8,loamy,130.1,6.18,Corn
11.6,67.7,48.5,loamy,74.0,6.31,Oats
15.3,60.8,35.8,loamy,216.3,6.28,Rapeseed
23.9,72.0,65.5,clayey,207.0,6.37,Tomato
15.3,69.4,49.3,loamy,117.4,6.48,Oats
14.8,82.4,39.4,black,93.9,5.82,Oats
18.9,50.1,30.3,sandy,97.6,6.14,Cherry
15.2,51.4,36.7,loamy,70.9,6.82,Barley
18.7,49.0,49.0,black,169.2,5.91,Corn
20.0,78.9,60.5,loamy,110.5,6.29,Potato
27.6,80.5,55.7,loamy,202.1,6.12,Tomato
22.7,47.6,33.7,black,155.7,6.54,Sunflower
12.7,68.0,39.1,loamy,197.4,6.98,Rapeseed
14.0,65.2,33.8,clayey,201.3,7.23,Rapeseed
11.9,48.8,22.0,sandy,131.2,7.6,Barley
10.5,66.9,40.3,clayey,90.8,5.84,Oats
19.5,67.1,48.7,clayey,206.4,6.97,Sugar Beet
21.2,69.8,60.1,black,115.8,5.98,Soybean
21.3,69.3,55.3,black,187.8,6.02,Corn
27.4,37.4,24.3,clayey,96.5,6.62,Peach
19.6,81.9,56.5,sandy,124.5,5.47,Potato
20.7,78.2,49.9,sandy,92.5,5.34,Potato
24.2,67.9,58.7,black,130.1,6.22,Soybean
27.4,45.6,17.7,loamy,132.4,6.64,Peach
25.9,75.9,60.5,loamy,200.0,6.07,Tomato
12.0,56.1,27.3,loamy,111.1,7.42,Barley
26.4,72.7,67.1,clayey,114.6,6.28,Tomato
12.7,44.9,26.2,black,129.6,6.92,Barley
15.2,78.7,60.2,loamy,135.3,5.75,Potato
14.6,63.0,45.7,sandy,135.4,6.92,Wheat
21.0,61.8,37.8,black,69.8,6.74,Sunflower
26.0,67.4,57.8,black,92.2,5.75,Soybean
13.0,72.2,45.5,clayey,97.2,5.94,Oats
22.0,53.4,55.6,loamy,174.0,6.31,Corn
13.8,59.6,39.8,clayey,184.2,7.37,Rapeseed
12.2,48.8,31.1,loamy,112.7,6.94,Barley
25.3,39.7,23.7,sandy,113.2,6.58,Peach
13.1,51.9,29.0,sandy,90.5,7.17,Barley
9.4,59.8,22.3,loamy,96.2,5.9,Rye
17.3,60.7,37.2,loamy,205.7,6.77,Rapeseed
16.4,59.2,42.5,black,190.3,7.42,Sugar Beet
8.3,60.8,29.5,sandy,86.3,5.78,Rye
22.9,47.8,29.0,sandy,149.5,7.44,Sunflower
16.9,72.6,36.8,loamy,208.2,6.18,Rapeseed
25.2,48.5,23.4,sandy,97.8,6.65,Peach
16.4,66.3,34.5,clayey,172.3,6.94,Wheat
21.6,61.2,48.9,loamy,135.6,5.99,Corn
11.8,55.1,40.2,loamy,187.0,6.54,Rapeseed
10.3,67.3,20.2,sandy,32.1,5.67,Rye
21.9,49.8,29.2,loamy,145.9,6.42,Sunflower
26.5,34.9,12.9,loamy,119.6,6.73,Peach
16.6,63.5,34.5,clayey,207.4,7.25,Sugar Beet
12.7,68.7,49.6,clayey,90.7,5.44,Oats
18.6,63.7,53.6,black,110.4,5.92,Corn
12.3,57.7,42.7,clayey,211.7,6.12,Rapeseed
17.2,84.3,65.4,sandy,117.9,5.02,Potato
25.2,72.7,71.9,red,209.6,6.25,Tomato
12.3,68.6,33.5,loamy,159.0,6.48,Wheat
21.9,61.2,61.7,loamy,128.2,5.98,Soybean
22.0,37.9,24.1,sandy,138.5,6.68,Peach
22.3,76.2,61.3,black,125.3,5.62,Soybean
14.7,82.2,50.9,sandy,139.8,6.0,Potato
12.2,46.5,26.2,sandy,123.7,6.68,Cherry
25.9,52.0,21.0,red,164.8,6.97,Peach
17.1,80.0,67.5,loamy,159.3,6.37,Potato
8.8,62.9,24.4,sandy,61.5,5.29,Rye
18.5,67.5,39.9,loamy,191.2,7.14,Rapeseed
21.7,67.4,60.1,loamy,116.3,6.45,Soybean
25.2,68.5,57.4,red,182.1,6.79,Tomato
13.3,66.4,39.2,loamy,140.8,6.72,Wheat
27.2,36.7,16.1,sandy,97.6,6.71,Peach
28.3,73.9,57.5,loamy,198.3,6.16,Tomato
9.7,57.2,8.0,loamy,54.7,5.92,Rye
17.3,54.0,29.0,sandy,121.5,6.6,Cherry
22.9,50.7,32.1,black,97.2,6.68,Sunflower
18.2,59.3,52.4,loamy,122.8,6.46,Soybean
23.9,43.7,28.7,black,142.0,6.17,Sunflower
14.1,68.2,44.0,loamy,116.7,5.91,Oats
10.3,67.3,53.4,loamy,105.8,6.04,Oats
16.3,60.9,39.6,loamy,217.8,6.88,Sugar Beet
14.2,65.6,37.9,clayey,178.3,6.53,Wheat
26.0,48.8,26.2,loamy,108.8,6.43,Peach
25.9,86.4,64.1,loamy,214.5,6.15,Tomato
13.3,65.7,39.4,clayey,207.3,6.7,Rapeseed
10.8,74.3,64.7,loamy,127.5,5.19,Potato
21.6,46.0,49.8,black,215.7,6.64,Corn
13.2,68.1,31.7,loamy,188.1,6.8,Rapeseed
16.7,56.0,41.0,black,259.4,7.16,Sugar Beet
19.0,54.6,60.6,loamy,153.0,6.34,Corn
15.8,71.6,56.6,loamy,179.4,7.08,Sugar Beet
21.2,54.9,27.2,black,116.4,6.86,Sunflower
4.3,55.6,30.9,sandy,60.6,5.57,Rye
9.9,64.3,30.9,sandy,66.4,5.73,Rye
19.7,66.8,42.9,black,172.2,7.08,Wheat
25.0,49.9,32.6,loamy,150.0,6.92,Sunflower
14.3,44.8,31.5,loamy,125.5,6.67,Barley
16.5,54.7,33.7,loamy,181.0,6.78,Rapeseed
25.4,75.7,61.9,loamy,158.1,5.83,Tomato
16.7,77.4,60.2,sandy,111.2,5.62,Potato
17.3,69.4,37.7,clayey,171.0,6.8,Rapeseed
25.7,74.9,59.1,sandy,184.5,6.33,Tomato
8.8,46.4,26.6,loamy,107.1,7.02,Barley
15.7,50.3,31.3,clayey,104.3,6.32,Cherry
7.7,55.1,27.4,sandy,61.8,6.09,Rye
14.1,50.3,14.7,sandy,134.7,7.22,Barley
14.3,56.1,25.7,loamy,115.5,6.6,Cherry
21.4,65.0,53.1,black,177.0,5.98,Corn
21.4,46.1,31.6,black,124.6,6.83,Sunflower
29.1,36.4,28.7,loamy,113.4,6.68,Peach
12.7,60.7,16.4,sandy,58.8,6.09,Rye
14.3,54.3,33.1,red,94.1,6.92,Cherry
11.0,76.3,54.1,clayey,79.4,5.91,Oats
23.0,62.6,52.3,black,80.8,6.85,Soybean
18.1,66.4,48.1,loamy,210.3,7.05,Sugar Beet
8.7,62.1,19.8,loamy,77.5,5.65,Rye
15.5,43.6,31.0,loamy,84.1,6.58,Cherry
8.7,59.3,25.9,sandy,68.6,5.88,Rye
17.6,54.2,58.2,loamy,169.1,6.33,Corn
19.0,76.4,34.6,black,145.9,7.13,Wheat
9.3,54.9,24.9,sandy,83.9,5.9,Rye
24.7,43.2,32.0,loamy,137.1,6.48,Peach
28.6,74.5,56.9,red,152.0,5.97,Tomato
24.2,52.4,54.7,black,171.6,6.26,Corn
13.0,72.4,47.4,clayey,97.5,5.71,Oats
22.0,71.1,35.5,black,186.5,7.51,Sugar Beet
18.4,52.8,59.0,loamy,173.2,6.39,Corn
21.6,68.2,50.4,loamy,99.4,6.75,Soybean
23.9,47.8,18.6,loamy,100.9,6.67,Peach
25.2,40.3,21.7,sandy,117.9,6.21,Peach
19.3,78.2,56.8,sandy,117.9,5.61,Potato
10.0,58.8,33.5,loamy,110.7,6.58,Barley
13.0,76.5,49.3,loamy,87.4,5.68,Oats
12.4,53.1,33.4,loamy,136.4,6.84,Barley
26.1,39.5,24.0,sandy,122.0,6.38,Peach
9.6,49.5,28.5,loamy,135.1,7.01,Barley
9.5,56.2,28.1,sandy,100.1,7.1,Barley
29.0,43.1,17.0,red,147.5,6.71,Peach
14.7,74.2,43.0,black,184.0,6.82,Wheat
18.5,75.1,43.1,sandy,233.9,6.84,Sugar Beet
14.2,63.9,35.6,clayey,154.3,6.53,Rapeseed
24.5,71.0,67.6,loamy,154.2,6.46,Tomato
20.6,52.5,48.0,loamy,145.7,6.34,Corn
10.1,74.5,52.5,clayey,132.8,6.07,Oats
12.5,70.6,50.9,clayey,115.2,5.76,Oats
23.1,65.3,54.3,black,112.1,6.47,Soybean
22.2,73.0,63.4,loamy,178.0,6.12,Tomato
13.2,51.6,18.3,loamy,108.8,7.07,Barley
19.8,55.1,18.7,sandy,108.6,6.64,Sunflower
25.7,70.8,53.1,clayey,109.7,6.12,Soybean
21.9,69.1,55.5,loamy,126.9,6.69,Soybean
27.4,72.5,60.4,clayey,190.1,6.56,Tomato
12.0,84.1,57.3,black,109.7,6.32,Oats
22.5,45.8,36.4,black,137.2,6.85,Sunflower
21.5,33.8,29.2,black,108.6,6.27,Sunflower
10.7,78.3,45.8,sandy,104.3,5.97,Oats
26.3,42.0,16.6,loamy,106.0,6.8,Peach
8.4,63.2,20.9,sandy,64.5,6.04,Rye
25.1,53.0,28.5,black,113.8,7.05,Sunflower
25.1,36.5,15.9,red,95.6,6.78,Peach
27.5,44.8,13.1,red,73.7,6.47,Peach
12.2,42.7,25.7,sandy,81.3,6.41,Cherry
16.0,53.1,30.5,loamy,112.3,6.45,Cherry
23.6,71.1,56.0,black,103.4,6.36,Soybean
8.3,59.9,26.8,sandy,49.0,5.79,Rye
24.3,57.2,28.1,black,68.5,6.58,Sunflower
14.6,52.0,39.2,black,223.2,6.96,Rapeseed
12.9,62.4,38.5,clayey,202.3,6.84,Rapeseed
22.6,50.9,28.0,black,98.7,6.54,Sunflower
23.3,56.5,32.3,black,108.1,6.47,Sunflower
17.0,68.0,45.6,loamy,164.3,6.5,Wheat
19.5,87.1,66.6,sandy,81.0,6.01,Potato
19.8,80.2,61.9,loamy,157.0,5.78,Potato
16.6,83.6,66.0,loamy,133.1,5.72,Potato
15.4,70.9,39.9,loamy,76.1,6.57,Oats
14.5,58.8,47.4,black,222.9,7.01,Sugar Beet
9.6,58.2,16.2,clayey,62.2,5.7,Rye
23.6,66.9,53.3,loamy,110.7,6.05,Soybean
13.9,68.9,36.2,loamy,241.7,6.69,Rapeseed
17.0,73.1,38.4,sandy,167.6,6.71,Wheat
21.1,56.1,31.7,loamy,96.2,6.63,Sunflower
18.1,40.4,27.6,loamy,70.4,6.52,Cherry
11.0,52.7,33.3,loamy,83.3,7.35,Barley
15.6,63.8,42.7,clayey,195.7,6.75,Wheat
15.2,53.7,31.1,loamy,119.0,7.32,Cherry
9.2,68.9,40.1,clayey,93.7,6.07,Oats
24.6,82.9,72.3,clayey,182.8,6.02,Tomato
25.8,59.7,67.3,loamy,168.8,6.52,Tomato
13.7,71.9,57.1,loamy,105.4,6.06,Oats
23.8,59.0,41.8,clayey,103.9,6.36,Soybean
24.0,35.7,26.9,red,92.7,6.95,Peach
25.7,42.0,26.8,sandy,163.3,6.75,Peach
10.9,50.8,31.9,loamy,96.6,7.17,Barley
27.0,39.4,10.4,red,136.7,6.61,Peach
13.5,60.6,39.0,loamy,176.5,6.2,Wheat
16.7,74.4,51.5,clayey,143.8,6.18,Potato
11.5,70.0,50.5,clayey,138.3,6.18,Oats
9.7,58.9,22.3,sandy,69.7,5.58,Rye
20.0,74.7,38.0,loamy,147.4,6.74,Wheat
12.9,66.2,45.3,clayey,124.6,6.05,Oats
12.5,47.0,31.2,sandy,96.8,6.18,Cherry
16.9,78.0,53.1,clayey,74.1,6.16,Oats
16.8,87.9,53.2,red,116.7,5.37,Potato
17.8,44.9,30.2,clayey,141.2,6.6,Sunflower
17.5,79.9,69.6,sandy,138.5,5.63,Potato
18.9,76.6,54.2,loamy,111.5,5.4,Potato
19.4,53.9,34.2,sandy,119.3,5.99,Cherry
10.8,56.1,25.0,loamy,65.3,5.78,Rye
13.0,56.7,29.3,loamy,116.0,7.36,Barley
13.9,40.6,28.8,sandy,93.4,6.78,Cherry
11.0,71.4,51.7,clayey,95.1,5.64,Oats
18.1,83.2,61.3,sandy,149.1,5.42,Potato
14.3,64.1,29.0,clayey,187.8,6.59,Rapeseed
26.1,87.9,61.7,loamy,185.1,6.57,Tomato
13.0,54.4,50.5,loamy,190.1,7.01,Rapeseed
26.0,40.5,24.8,loamy,113.0,7.18,Peach
13.0,68.1,43.7,sandy,129.1,5.75,Oats
12.6,57.1,26.8,black,86.0,6.94,Barley
27.0,38.1,16.5,sandy,118.3,6.83,Peach
18.7,59.8,35.2,loamy,120.3,6.81,Rapeseed
18.1,87.9,65.0,sandy,123.6,5.8,Potato
17.5,79.6,59.5,sandy,129.2,5.85,Potato
21.7,64.0,56.0,loamy,213.9,6.48,Corn
18.7,66.2,39.3,loamy,180.9,7.23,Sugar Beet
17.4,65.2,64.3,loamy,118.3,6.24,Soybean
12.7,52.1,33.8,sandy,99.7,7.61,Barley
24.6,35.6,25.0,loamy,116.2,6.63,Peach
15.0,86.1,47.5,clayey,143.1,6.27,Oats
19.5,60.1,43.9,black,233.0,7.29,Sugar Beet
7.7,62.7,16.9,loamy,54.4,6.03,Rye
13.2,58.0,22.8,loamy,101.1,7.45,Barley
18.5,62.4,47.5,black,183.8,7.53,Sugar Beet
23.9,69.5,54.7,loamy,134.0,6.69,Soybean
14.3,76.2,44.3,loamy,90.3,6.22,Oats
16.1,60.5,36.6,black,185.4,6.61,Rapeseed
16.0,51.9,25.8,loamy,133.2,7.03,Barley
14.9,49.9,23.9,loamy,103.8,6.25,Cherry
21.8,57.8,43.9,loamy,236.1,7.18,Sugar Beet
17.0,59.8,39.4,black,224.3,7.19,Rapeseed
18.1,79.1,65.1,sandy,106.8,5.75,Potato
17.9,71.0,58.5,loamy,136.2,5.11,Potato
15.0,65.0,35.1,loamy,164.4,6.93,Rapeseed
22.3,67.7,58.7,sandy,162.1,6.26,Corn
10.3,70.3,49.5,clayey,105.5,5.91,Oats
21.1,63.7,48.5,black,62.0,6.52,Soybean
18.1,53.8,49.3,loamy,184.2,7.38,Sugar Beet
12.5,61.3,31.3,loamy,199.7,6.31,Rapeseed
24.3,47.1,31.0,black,160.3,6.8,Sunflower
22.9,47.3,31.3,sandy,84.8,7.14,Sunflower
23.6,47.7,41.1,clayey,146.4,6.32,Sunflower
23.2,52.3,25.2,loamy,121.7,6.36,Sunflower
18.1,44.6,35.9,loamy,93.0,6.21,Cherry
13.8,63.2,38.3,loamy,123.2,6.51,Rapeseed
15.3,51.1,23.0,black,101.4,6.74,Cherry
16.3,61.5,41.2,loamy,151.8,6.37,Wheat
7.2,60.0,25.7,sandy,67.9,5.79,Rye
17.8,67.9,45.7,loamy,188.0,6.54,Sugar Beet
13.3,71.3,43.1,clayey,124.5,5.84,Oats
11.3,56.3,37.5,loamy,193.9,7.21,Rapeseed
26.8,80.6,66.3,loamy,206.9,6.13,Tomato
13.4,63.1,28.1,loamy,209.1,6.32,Rapeseed
13.4,64.6,34.6,loamy,191.3,6.45,Rapeseed
24.6,76.7,68.5,clayey,187.8,6.79,Tomato
17.3,63.9,27.5,loamy,151.0,6.49,Wheat
23.3,74.3,56.9,loamy,100.9,6.43,Soybean
18.2,70.7,53.2,sandy,113.2,6.29,Potato
26.0,74.7,68.1,loamy,170.1,6.21,Tomato
14.4,54.7,31.5,sandy,106.2,6.69,Cherry
17.2,68.7,63.4,loamy,149.1,6.04,Potato
14.7,82.7,59.7,sandy,129.3,6.25,Potato
25.5,38.5,20.2,red,127.6,6.97,Peach
24.7,40.5,20.9,loamy,100.2,6.88,Peach
14.2,46.4,21.9,sandy,82.3,6.94,Cherry
25.0,69.6,60.8,red,224.4,5.93,Tomato
16.3,73.9,57.6,sandy,184.5,5.7,Potato
15.3,55.6,23.0,loamy,127.3,6.82,Barley
24.9,72.1,52.4,loamy,130.9,6.69,Soybean
12.2,65.4,46.4,loamy,130.7,5.89,Oats
10.3,76.2,35.2,black,102.9,5.44,Oats
22.5,60.9,41.7,black,204.6,6.83,Sugar Beet
18.5,61.7,52.3,black,174.3,5.99,Corn
17.7,55.1,47.1,clayey,183.5,6.59,Rapeseed
16.7,58.1,50.7,loamy,168.0,7.27,Sugar Beet
12.1,56.0,36.8,clayey,211.3,6.84,Rapeseed
15.3,58.9,25.8,loamy,84.0,6.36,Barley
8.1,59.1,15.5,sandy,82.7,5.36,Rye
24.2,66.6,49.3,black,109.4,6.21,Soybean
11.5,74.0,40.9,loamy,109.1,5.96,Oats
16.9,64.7,44.8,loamy,155.9,6.88,Wheat
13.7,73.4,68.2,loamy,151.7,5.8,Potato
21.1,74.8,62.8,loamy,201.4,5.94,Tomato
18.1,53.8,54.4,sandy,144.2,5.97,Corn
16.9,81.0,59.7,loamy,119.7,5.89,Potato
24.6,70.7,59.7,loamy,179.3,6.52,Tomato
15.0,69.4,36.7,loamy,175.6,6.8,Rapeseed
9.4,75.9,43.6,loamy,119.5,6.34,Oats
15.2,88.3,59.6,sandy,146.2,5.5,Potato
14.3,78.7,60.8,sandy,149.3,6.04,Potato
28.3,76.7,53.7,loamy,188.0,5.99,Tomato
16.9,62.4,36.0,clayey,145.4,6.39,Wheat
24.9,73.1,61.8,loamy,131.7,5.96,Tomato
27.0,65.5,63.6,loamy,215.5,6.17,Tomato
22.0,43.6,29.1,black,141.8,6.82,Sunflower
11.9,55.3,24.8,black,110.7,6.49,Barley
14.9,54.9,43.5,loamy,150.9,6.93,Rapeseed
22.5,43.4,36.7,black,111.1,6.61,Sunflower
22.6,67.4,55.7,loamy,91.3,6.36,Soybean
20.0,78.8,53.0,loamy,164.4,5.72,Potato
14.5,42.1,29.9,sandy,80.9,6.6,Cherry
20.6,63.1,37.1,loamy,181.5,6.71,Sugar Beet
